"Season","TeamName","Tempo","RankTempo","AdjTempo","RankAdjTempo","OE","RankOE","AdjOE","RankAdjOE","DE","RankDE","AdjDE","RankAdjDE","AdjEM","RankAdjEM"
"2017","Marist",69.0418,204,66.7883,243,99.7416,250,100.765,246,113.837,337,114.397,330,-13.6327,312
"2017","Marquette",71.0813,91,70.0339,76,115.193,14,120.795,8,106.081,227,104.216,165,16.5796,32
"2017","Marshall",77.399,3,77.606,3,109.453,55,110.825,67,107.823,265,109.7,274,1.12534,149
"2017","Maryland",67.8287,258,67.1423,221,107.794,86,113.099,41,101.181,116,98.7654,64,14.3335,46
"2017","Maryland Eastern Shore",69.201,194,68.398,160,99.7674,249,97.835,292,109.003,290,112.657,314,-14.8225,321
"2017","Massachusetts",72.964,35,71.8037,29,98.6149,272,100.629,248,98.7488,55,99.9926,80,0.636178,157
"2017","McNeese St.",71.9535,58,69.8349,85,95.69,321,96.2749,315,109.473,303,110.286,288,-14.0108,316
"2017","Memphis",70.0091,143,68.3402,166,104.275,158,106.945,128,100.362,89,100.923,98,6.02143,101
"2017","Mercer",63.4911,348,61.6335,346,108.161,78,109.609,81,108.328,273,108.24,243,1.36887,145
"2017","Miami FL",64.7244,335,62.9756,339,106.198,114,109.872,76,99.1649,62,94.843,25,15.0291,42
"2017","Miami OH",70.8555,102,68.5235,150,96.8128,305,95.9277,319,105.353,216,105.986,198,-10.0584,279
"2017","Michigan",63.7284,345,62.9952,338,116.586,8,122.331,4,103.139,163,99.2844,70,23.0469,20
"2017","Michigan St.",68.0923,249,66.7966,242,105.349,137,111.426,58,100.524,95,95.9137,38,15.5122,40
"2017","Middle Tennessee",66.1388,310,64.56,311,111.71,32,112.209,51,96.1991,27,97.2586,53,14.9502,43
"2017","Milwaukee",65.0759,330,62.4973,344,99.4609,254,99.9541,260,107.541,258,108.321,244,-8.36672,259
"2017","Minnesota",70.3448,125,69.4392,98,104.242,159,109.715,77,96.585,33,93.7181,22,15.9966,37
"2017","Mississippi",73.4233,30,71.5766,33,105.461,134,111.078,62,103.362,167,100.92,97,10.1582,74
"2017","Mississippi St.",70.7998,105,68.8988,118,101.937,202,106.594,135,100.076,79,99.3301,72,7.26388,88
"2017","Mississippi Valley St.",72.1021,55,71.1928,43,95.8224,319,95.8117,320,114.466,339,118.348,347,-22.5368,344
"2017","Missouri",70.4283,119,67.9469,190,97.3392,295,101.542,229,102.767,153,100.905,96,0.637079,156
"2017","Missouri St.",66.2275,308,66.0802,272,106.632,103,108.321,104,104.119,188,106.051,200,2.27069,134
"2017","Monmouth",74.2097,18,72.4069,21,108.507,73,109.161,86,98.3457,49,100.55,89,8.6115,81
"2017","Montana",68.7815,216,66.6832,251,108.11,82,106.12,145,105.933,225,108.176,242,-2.05636,194
"2017","Montana St.",71.5095,73,69.2201,103,107.199,93,103.119,195,107.507,256,109.619,271,-6.50054,239
"2017","Morehead St.",70.4743,117,68.587,143,106.876,98,106.713,133,109.892,309,109.775,277,-3.06203,203
"2017","Morgan St.",69.7991,159,67.6532,203,95.3251,323,91.173,344,100.492,94,106.647,212,-15.4738,324
"2017","Mount St. Mary's",68.3018,241,66.8053,241,99.2467,256,99.5652,266,100.14,83,103.416,152,-3.85061,209
"2017","Murray St.",70.2106,133,68.6176,139,109.615,53,107.203,122,107.463,254,109.811,278,-2.6079,197
"2017","Navy",64.7797,333,64.125,321,99.3615,255,99.8821,262,99.5924,69,103.358,146,-3.47641,206
"2017","Nebraska",69.4049,183,68.034,185,99.0719,260,104.962,157,105.336,215,99.8271,77,5.13443,107
"2017","Nebraska Omaha",75.7714,7,73.697,9,108.145,80,108.588,98,109.896,310,108.994,255,-0.406059,176
"2017","Nevada",70.8624,101,69.6592,88,112.092,28,114.654,36,100.374,90,101.343,101,13.3102,54
"2017","New Hampshire",66.3528,301,65.3591,296,102.532,184,102.391,211,101.099,115,103.195,140,-0.804191,182
"2017","New Mexico",70.4733,118,68.8052,126,103.724,169,106.489,137,102.557,149,103.043,137,3.44573,119
"2017","New Mexico St.",69.5993,169,67.8737,194,110.427,47,110.496,70,98.1505,46,102.603,124,7.89238,84
"2017","New Orleans",68.4026,237,66.1401,270,101.978,201,101.236,235,99.7015,72,101.753,106,-0.51664,178
"2017","Niagara",71.767,64,68.961,115,102.044,200,101.385,232,107.484,255,109.286,267,-7.90171,256
"2017","Nicholls St.",71.6051,68,69.3984,99,99.9732,244,100.469,250,113.074,334,114.24,326,-13.771,315
"2017","NJIT",70.6932,108,67.5295,209,100.242,240,98.6585,280,108.354,276,109.213,264,-10.5548,286
"2017","Norfolk St.",70.2956,128,68.78,128,96.6704,308,94.1929,330,102.013,135,106.109,203,-11.916,299
"2017","North Carolina",72.4375,48,71.2226,41,115.379,13,120.699,9,97.7324,44,92.4825,11,28.217,3
"2017","North Carolina A&T",64.6828,336,62.7653,341,96.5153,310,95.4621,321,116.555,349,123.167,351,-27.7049,349
"2017","North Carolina Central",68.2964,242,66.6152,256,107.014,95,102.266,214,93.6818,10,101.9,109,0.365738,161
"2017","North Carolina St.",71.9609,57,70.2436,70,106.966,96,112.572,45,110.213,316,107.593,229,4.97893,109
