Indiv,Inversion Orientation,days.til.flower,node of first flower,corolla length,tube length,corolla width,stem circumfrance (btw cot and 1st leaf),first true leaf length,first true leaf width,internode length (2nd3rd nodes),internode length (1st2nd nodes),# of stolons
205,AB,24,3,33.36,18.08,28.86,3.46,39.04,31.81,56.02,8.85,8
208,AB,25,2,25.87,12.94,22.83,1.6,22.53,22.11,37.3,23.67,6
211,AB,26,4,31.75,18.65,26.94,3.11,27.54,23.54,35.68,5.99,6
218,AB,28,4,31.64,16.2,25.39,2.43,32.05,24.36,10.53,4.41,8
220,AB,37,5,27.69,16.89,17.67,2.25,13.82,26.45,9.67,0.5,8
224,AB,24,3,30.93,15.01,25.73,2.53,35.31,29.27,39.36,16.97,6
228,AB,26,3,27.91,16.71,26.08,1.5,15.66,13.53,16.46,6.5,2
230,AB,24,3,33.62,13.52,26.03,2.8,24.82,26.89,46.19,15.86,8
232,AB,28,4,19.05,12.54,12.59,1.43,6.8,9.55,7.01,2.55,10
246,AB,29,5,25.75,14.59,20.5,1.49,11.02,9.67,4.31,0.5,14
249,AB,25,3,20.02,12.31,13,1.7,17.78,17.8,10.77,3.64,2
251,AB,25,3,33.05,17.65,29.47,2.12,22.83,20.51,34.84,10.34,6
252,AB,28,4,30.92,16.63,24.76,1.9,20.32,15.19,18.74,4.73,8
253,AB,27,4,32.33,18.18,25.83,2.6,26.98,22.3,22.27,6.44,4
254,AB,24,3,33.4,19.01,29.05,2.49,30.14,31.06,48.78,11.3,6
255,AB,28,3,33.65,16.19,29.2,1.85,19.04,20.34,33.06,7.59,3
257,AB,28,4,31.21,15.82,24.38,1.85,17.89,16.38,12.49,0.5,8
258,AB,39,4,14.17,10.47,6.45,1.96,16.76,19.09,3.46,0.5,10
260,AB,28,4,35.28,18.11,30.14,3.54,29.46,28.21,21.96,3.91,10
264,AB,26,3,36.27,19.84,27.81,1.84,18.8,20.52,15.08,3.41,8
265,AB,30,4,30.96,16.21,26.37,2.65,23.34,28.54,13.01,4.92,10
267,AB,30,5,35.95,16.65,33.75,3.22,24.08,23.7,25.77,4.63,8
270,AB,25,4,36.63,18.37,32.93,2.82,26.75,22.08,23.65,6.86,6
271,AB,39,5,30.8,17.72,27.13,2.15,22.31,17.02,9.58,3.19,10
277,AB,26,3,23.28,13.45,17.94,1.48,20.54,21.88,9.14,5.34,6
278,AB,25,3,26.99,14.86,23.54,1.43,21.54,21.55,12.16,5.98,4
281,AB,25,3,33.24,18.21,34.16,2.41,32.49,31,48.43,18.37,4
281,AB,28,4,31.47,17.5,28.86,2.13,21.38,17.34,8.7,1.89,6
282,AB,25,3,37.69,18.73,36.04,3.42,14.17,34.87,61.1,20,6
283,AB,37,7,35.56,20.33,22.65,1.94,16.25,15.41,6.88,0.5,10
285,AB,29,4,16.77,10.67,13.76,2.48,19.45,17.16,22.58,8.97,0
289,AB,24,3,28.45,14.11,23.77,2.62,30.2,28.05,34.38,9.8,4
290,AB,34,6,27.62,15.6,21.03,3.27,25.32,26.85,12.49,0.5,8
291,AB,28,5,36.53,18.73,26.28,3.6,30.45,22.83,10.79,1.92,12
293,AB,25,3,33.47,18.19,27.47,1.59,18.32,13.71,19.42,4.5,10
295,AB,29,4,29.32,16.82,23.79,2.81,18.78,16.25,19.66,0.5,10
300,AB,29,4,16.31,11.28,9.22,1.91,23.86,20.92,26.52,3.17,6
303,AB,22,3,37.3,21.11,29.08,2.78,41.76,20.25,49.94,10.75,4
305,AB,27,4,31.1,17.02,26.99,3.79,41.8,33.69,53.43,15.62,6
306,AB,27,4,33.87,19.34,27.3,2.77,32.21,29.4,18.48,9.15,10
307,AB,23,3,34.04,18.36,27.35,3.11,40.16,32.31,52.91,13.21,4
309,AB,24,3,21.51,13.57,18.61,1.91,30.02,28.35,32.74,11.23,0
310,AB,28,4,27.02,15.88,21.93,2.97,29.05,24.47,19.66,0.5,6
313,AB,24,3,36.29,19.96,29.61,4.07,14.95,37.99,22.37,7.96,6
321,AB,26,3,34.51,19.96,28.56,2.49,29.09,24.97,13.21,4.01,7
323,AB,29,4,37.15,16.5,35.36,3.67,43.81,44.27,45.88,10.14,6
324,AB,28,4,28.12,16.81,22.63,1.21,10.47,10.64,6.95,2.82,8
325,AB,27,4,31.82,1.53,23.03,1.17,12.67,12.29,8.35,0.5,10
326,AB,28,4,41.86,21.46,37.38,4.46,43.05,34.75,19.15,4.58,12
327,AB,29,5,23.61,13.72,19.98,2.7,21.49,22.09,4.83,0.5,10
328,AB,22,3,32.33,17.64,25.48,2.87,43.12,36.4,44.57,17.91,6
330,AB,30,4,18.35,12.4,9.59,3.13,19.15,25.16,19.33,5.25,12
333,AB,31,6,32.19,18.92,28.29,3.32,18.31,19.41,8.43,0.5,6
337,AB,26,4,34.25,18.33,33.25,3.77,30.81,24.56,48.62,8.63,4
338,AB,28,4,28.98,19.04,22.52,3.25,26.65,29.8,15.52,2.73,10
339,AB,24,3,30.42,16.89,28.49,2.71,29.08,27.07,28.1,11.07,4
340,AB,26,4,26.81,14.52,21.46,3.82,44.56,35.87,48.65,11.77,4
342,AB,24,3,32.12,16.62,26.65,1.33,19.21,18.97,9.51,5.07,6
356,AB,26,4,32.59,16.84,28.79,3.23,28.65,24.32,29.06,4.89,10
357,AB,25,4,34.7,19.91,29.88,2.88,30.1,32.39,38.42,5.18,4
359,AB,28,4,31.27,16.89,26.55,4.08,40.72,32.18,24.9,5.51,6
360,AB,29,5,31.52,17.79,28.11,2.82,24.61,25.26,5.86,1.92,7
365,AB,28,4,37.03,18.78,31.17,3.02,35.9,25.51,15.64,2.2,12
367,AB,28,4,27.18,14.92,23.74,2.97,21.98,20.99,18.4,3.37,6
372,AB,24,3,26.22,14.5,19.33,2.13,19.81,15.47,24.37,7.55,10
375,AB,25,3,36.85,18.67,32.08,2.75,39.79,30.13,41.26,12.62,6
379,AB,26,5,24.36,12.4,19.84,2.13,22,19.82,9.65,3.3,4
381,AB,24,3,35.72,18.66,31.19,2.4,42.36,34.92,41.09,20.22,5
383,AB,29,5,36.16,17.09,31.34,3.53,26.08,25.03,10.9,3.31,12
380,AB,31,6,36.66,20.17,31.6,3.74,17.83,18.93,20.77,4.65,18
390,AB,26,4,26.55,13.34,22.04,1.98,22.51,20.06,6.81,0.5,8
395,AB,24,3,36.09,20.76,30.08,2.43,31.47,31.86,39.59,14.8,4
398,AB,28,4,29.21,15.83,24.08,2.14,24.02,20.87,4.51,1.52,10
401,AB,29,5,20.32,12.4,16.72,1.95,13.42,12.5,3.58,0.5,2
403,AB,24,3,19.33,,,1.85,29.58,21.97,15.34,2.73,6
406,AB,30,5,24.4,14.93,16.77,2.07,17.86,21.37,11.74,5.56,10
407,AB,22,3,28.05,16.01,24.93,2.25,23.07,21.85,17.23,10.38,4
408,AB,27,4,36.17,17.57,34.16,3.12,33.32,27.19,48.86,5.82,10
411,AB,30,5,24.7,13.36,18.47,2.46,27.14,21.71,10.57,0.5,8
420,AB,27,3,35.28,18.73,28.11,1.98,20.72,21.7,18.8,4.56,4
422,AB,24,3,31.81,16.08,30.45,2.8,30.12,29.18,27.27,7.04,8
424,AB,35,6,23.49,14.79,17.23,2.93,25.84,28.33,18.37,8.23,4
428,AB,34,7,38.03,23.32,29.45,5.22,39.56,31.87,17.2,4.18,10
430,AB,24,3,35.41,17.01,34.54,3.14,37.47,34.29,55.17,17.37,4
431,AB,29,4,33.86,17.08,33.53,2.79,30.68,26.8,9.9,2.46,16
432,AB,36,6,29.73,16.83,23.53,2.08,12.61,13.51,8.46,0.5,18
438,AB,30,4,27.38,14.97,22.09,2.33,14.59,12.93,26.19,0.5,5
439,AB,36,6,29.16,16.48,27,2.45,14.01,15.82,12.32,0.5,16
441,AB,24,3,35.96,21.33,28.86,2.45,26.42,23.71,25.5,9.34,8
446,AB,28,4,35.82,18.5,19.18,3.21,26.13,29.82,27.3,8.55,10
450,AB,26,4,34.35,17.91,30.85,3.17,28.05,23.81,32.06,5.75,8
451,AB,24,3,34.79,17.79,31.21,2.63,32.06,25.97,30.83,9.02,4
454,AB,26,3,30.97,17.44,26.71,2.71,19.02,20.1,31.27,8.19,8
459,AB,26,3,24.4,14.71,20.16,2.17,26.6,27.59,58.64,21.25,4
460,AB,30,4,33.66,16.56,27.5,1.73,10.27,9.85,4.11,0.5,10
462,AB,27,4,24.54,12.64,19.64,1.89,29.14,22.57,12.61,1.5,4
467,AB,31,5,26.48,13.55,20.62,2.79,18.89,18.07,27.19,19.3,6
470,AB,28,4,38.5,19.19,36.13,2.67,31.05,22.54,20.67,1.99,8
473,AB,33,6,36.4,18.18,27.05,2.61,14.12,14.19,13.39,2.18,12
474,AB,28,4,21.9,12.22,15.31,2.83,27.28,23.53,24.47,3.41,4
480,AB,30,5,33.87,19.7,28.72,3.2,32.15,26.38,20.12,2.63,6
481,AB,29,4,31.19,14.94,29.14,2.79,27.87,20.36,13.65,4.44,12
482,AB,24,3,32.66,17.56,29.1,2.85,31.9,33.41,43.97,16.28,6
484,AB,28,4,37.03,18.88,30.17,3.73,41.9,30.04,34.83,8.99,8
485,AB,30,5,30.97,15.15,24.6,2.17,12.7,13.36,11.27,0.5,20
486,AB,24,3,32.67,15.84,27.45,3.21,40.6,37.9,53.15,12.86,4
495,AB,27,4,35.78,21.3,30.8,4.63,38.86,33.03,36.7,5,8
496,AB,28,4,27.92,13.9,22.8,2.49,22.2,19.46,10.21,3.93,4
497,AB,26,3,31.31,15,26.19,2.87,41.64,31.5,72.38,14.65,4
498,AB,27,3,29.94,15.78,,2.36,27.09,26.05,57.21,2.9,4
503,AB,31,5,30.33,15.82,26.33,2.38,22.67,16.62,23.1,0.5,4
502,AB,26,4,35.08,19.74,31.3,3.74,29.89,29.41,31.59,11.05,8
506,AB,27,3,24.74,15.38,16.6,2.62,26.81,20.32,17.6,4.32,3
513,AB,38,8,48.91,28.42,32.14,4.69,40.72,25.82,13.81,0.5,14
519,AB,28,4,30,19.08,25.34,2.17,40.05,30.69,15.61,0.5,4
521,AB,25,3,40.01,19.35,37.77,2.93,30.77,27.17,37.34,7.96,4
526,AB,27,4,30.49,15.95,32.14,3.92,32.33,24.21,23.5,5.76,4
531,AB,25,3,36.44,19.81,31.15,2.91,31.9,30.38,40.22,10.3,12
532,AB,28,4,23.7,14.88,18.31,2.6,21.28,18.87,15.76,3.8,6
533,AB,36,5,26.01,14.05,22.05,2.57,20.1,21.27,9.8,0.5,10
534,AB,29,4,21.88,14,17.48,4.01,29.06,27.02,17.97,6,6
535,AB,31,5,,11.4,,1.45,17.51,16.99,14.67,4.33,0
537,AB,25,3,27.66,14.49,23.75,3.26,35.51,31.22,25.57,9.03,0
538,AB,26,3,31.46,16.33,22.61,2.17,27.59,29.03,28.19,4.68,4
544,AB,28,4,18.66,12.01,11.01,1.68,18.62,16.18,20.25,5.18,3
547,AB,28,4,32.18,17.69,26.99,3.06,33.33,31.26,52.88,22.24,4
553,AB,24,3,29,16.13,23.59,2.8,25.07,17.78,26.44,5.94,8
557,AB,34,4,21.28,13.04,16.51,1.57,21.83,23.34,16.72,11.64,8
561,AB,27,4,31.02,16.75,27.96,3.98,34.6,25.76,49.87,8.92,4
564,AB,24,3,33.37,15.31,25.43,3.83,32.69,25.43,35.17,6.69,4
565,AB,25,4,27.54,13.32,25.57,2.88,37.63,29.92,35.87,15.98,2
566,AB,25,3,27.17,16.41,26.64,1.85,23.48,26.93,37.74,16.43,5
567,AB,24,3,34.31,18.8,34.59,3.3,25.19,27.74,49.54,5.9,4
575,AB,23,3,32.17,18.43,29.3,2.49,32.43,25.41,43.47,9.67,4
576,AB,25,4,35.28,18.72,28.67,2.45,26.65,23.97,46.77,13.89,6
581,AB,36,4,24.98,14.09,18.98,1.24,13.79,17.65,5.47,0.5,5
583,AB,31,4,25.63,15.7,17.67,2.72,25.12,26.53,12.76,0.5,8
585,AB,29,4,35.83,18.46,33.49,2.58,24.91,20.85,21.41,4.85,10
586,AB,30,5,35.51,17.75,32.18,3.57,42.53,36.52,16.97,4.42,10
588,AB,29,6,24.5,15.43,17.35,2.64,21.39,26,19.23,0.5,4
590,AB,23,3,30.6,15.46,26.68,2.78,16.92,22.81,22.62,3.32,2
593,AB,25,3,32.3,16.5,30.66,2.87,26.82,25.32,34.29,6.31,4
596,AB,25,4,19.62,12.44,15.5,3.9,36.71,32.05,36.24,9.15,4
598,AB,24,3,33.23,16.75,34.24,3.02,35.88,32.24,46.38,11.02,12
599,AB,22,3,28.04,15.25,19.8,1.5,29.41,24.02,45.75,5.63,4
600,AB,27,5,32.55,16.05,28.87,3.54,39.38,30.12,13.28,3.15,4
601,AB,28,4,25.31,16.36,19.63,4.16,37.32,28.53,50.87,8.42,4
609,AB,23,3,34.08,19.36,26.66,1.77,36.72,19.93,35.79,3.34,2
610,AB,23,2,22.75,12.13,15.33,1.45,20.3,18.71,21.16,17.67,0
625,AB,29,5,32.42,16.35,26.39,3.45,20.12,19.04,17.42,7.67,14
